Tabela,Row,Alpha,B,t,Iteracoes,Success,Objective
4,1,0.31,605.8825992124601,0.38878124486253185,12,True,-465777450.4592375
4,2,0.32,626.6818156893283,0.38716393394245807,15,True,-472772421.53362036
4,3,0.33,647.4981628823032,0.3855259663907883,15,True,-480114101.61241376
4,4,0.34,668.3603123300094,0.38390147587077805,12,True,-487812341.87620854
4,5,0.35000000000000003,689.2421295501541,0.38226708511371943,31,True,-495877862.78016174
4,6,0.36000000000000004,710.1060797235835,0.3805934999591611,15,True,-504322275.00877017
4,7,0.37000000000000005,731.0509536587534,0.37897298621078074,18,True,-513158106.4551711
4,8,0.38000000000000006,751.9694479798084,0.37731392822488913,11,True,-522398832.1126432
4,9,0.39000000000000007,772.8935048535005,0.37564879021353265,12,True,-532058912.167031
4,10,0.4000000000000001,793.8616759008781,0.37400971457412696,9,True,-542153832.7676383
4,11,0.4100000000000001,814.7180236078234,0.37228449276142767,15,True,-552700154.32517
4,12,0.4200000000000001,835.6023179287405,0.3705819412783045,18,True,-563715561.9274141
4,13,0.4300000000000001,856.4996965857413,0.3688921004864165,11,True,-575218925.9195307
4,14,0.4400000000000001,877.2372883153107,0.3671066306360415,9,True,-587230363.7694278
4,15,0.4500000000000001,898.1546319484672,0.3654452480825554,21,True,-599771316.4002742
4,16,0.46000000000000013,918.92467086906,0.36370514531068837,15,True,-612864615.3769602
4,17,0.47000000000000014,939.6137386564211,0.36193460803451905,157,True,-626534577.6014051
4,18,0.48000000000000015,960.3107317926572,0.3601874026704149,58,True,-640807093.2850184
4,19,0.49000000000000016,980.9093147576798,0.35840773095342543,11,True,-655709726.8448368
4,20,0.5000000000000002,1001.4360323971622,0.35661456965686167,19,True,-671271827.9007758
4,21,0.5100000000000002,1021.8960767160544,0.35481400737088176,10,True,-687524650.6402302
4,22,0.5200000000000002,1042.2608571079202,0.35299551817322616,10,True,-704501484.5175633
4,23,0.5300000000000002,1062.509000054939,0.3511533204743648,62,True,-722237796.6496772
4,24,0.5400000000000003,1082.6901991178404,0.3493135957248278,111,True,-740771386.9868013
4,25,0.5500000000000003,1102.7264080350565,0.3474450927417424,35,True,-760142557.6457293
4,26,0.5600000000000003,1122.6306089052687,0.3455579049973736,12,True,-780394297.6168292
4,27,0.5700000000000003,1142.453838319846,0.34367602150718807,13,True,-801572484.8622382
4,28,0.5800000000000003,1162.1839494341068,0.34179621668522586,10,True,-823726106.5542091
4,29,0.5900000000000003,1181.666417913996,0.3398626936383885,11,True,-846907501.5138075
4,30,0.6000000000000003,1201.1541333321816,0.33797339985486585,21,True,-871172623.3427616
5,0,0.3,584.6195325900579,0.39018452246332624,10,True,-491877890.7761805
5,1,0.31,605.3283022573274,0.3885336684649215,31,True,-499007536.4279003
5,2,0.32,626.1080500763038,0.38691989885896244,18,True,-506498910.1294899
5,3,0.33,646.9182693176278,0.3852992133800663,13,True,-514361644.61274564
